duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:00:04,100,0.7329216706752777,-8.744398293127615,44.5,-0.22596710396377748
0:00:06,200,0.6744611644744873,-9.389892122914334,66.8,-0.24002809484967627
0:00:08,300,0.5756023055315018,21.287781867576193,141.8,0.42823312543710584
0:00:10,400,0.45869158864021303,7.4579457885613305,133.7,0.12697354697644886
0:00:13,500,0.36841087907552716,-1.0537748840092476,118.8,-0.058439885774529216
0:00:15,600,0.3046272024512291,-4.22889796296923,120.6,-0.1276045696408563
0:00:17,700,0.26614212200045584,5.122046094650292,129.9,0.07608992456086455
0:00:19,800,0.2395339071750641,13.069130930145306,138.3,0.24920372098287163
0:00:22,900,0.22166516363620759,37.25309334519117,165.0,0.7760104221642544
0:00:24,1000,0.20801845356822013,68.27232468655791,200.0,1.451711891414019
0:00:27,1100,0.19771118864417075,135.8046250392237,230.3,2.922788787805678
0:00:30,1200,0.1886465995013714,131.06408127758115,253.3,2.819524063108488
0:00:34,1300,0.18058489114046097,302.3021896632637,285.9,6.549656513987523
0:00:37,1400,0.17343029171228408,383.13507995772545,341.0,8.310464257241753
0:00:40,1500,0.16791250944137573,191.94352253034668,274.5,4.1456796808571355
0:00:43,1600,0.16046643018722534,129.51620254051434,247.8,2.7858061438813375
0:00:46,1700,0.15734804138541222,182.66477745759352,275.0,3.943557919377758
0:00:49,1800,0.15282475784420968,105.81159914829911,219.7,2.2694414679216703
0:00:52,1900,0.1493992331624031,238.93051917993967,282.5,5.169211899381955
0:00:55,2000,0.14609698191285134,116.97477830839334,231.1,2.51261243747161
0:00:59,2100,0.14252278558909892,261.3684740354958,300.3,5.657984780179947
0:01:02,2200,0.13688643105328083,113.49223579840739,227.7,2.4367511414637963
0:01:05,2300,0.13721288233995438,171.150066645295,249.6,3.692729427587238
0:01:08,2400,0.13175565585494042,394.4057331321718,300.1,8.555976366344918
0:01:11,2500,0.12907247707247735,447.0899575048109,308.9,9.70361305092654
0:01:15,2600,0.12588040612637996,613.2075951040815,338.3,13.322204709722344
0:01:19,2700,0.12389510333538055,646.4883172834333,359.1,14.047168930363485
0:01:22,2800,0.12128042325377464,341.7815136647945,293.0,7.409646787094222
0:01:26,2900,0.11932229600846768,720.9415986139284,353.4,15.669007686838132
0:01:32,3000,0.11729674570262433,785.6556985298835,767.1,17.07869485520045
0:01:40,3100,0.11633539661765098,998.9385862523426,882.1,21.72470168283283
0:01:48,3200,0.11373635463416576,998.4137048222614,1000.0,21.713268028994513
0:01:56,3300,0.11145913869142532,962.5893545544089,1000.0,20.932895174344676
0:02:04,3400,0.11000032588839531,973.7564593155696,1000.0,21.176151656471607
0:02:13,3500,0.10763917461037636,993.4321561438185,1000.0,21.60475341997278
0:02:21,3600,0.10625981658697128,959.8871861415273,1000.0,20.87403300762459
0:02:29,3700,0.10703332088887692,951.5413128312091,1000.0,20.692232279041292
0:02:38,3800,0.10392783015966416,947.1331078177067,1000.0,20.596206991644646
0:02:47,3900,0.10407589718699456,950.0222141089978,1000.0,20.65914128374107
0:02:55,4000,0.10145058155059815,951.5708869031336,1000.0,20.6928765001579
0:03:03,4100,0.10077412463724614,949.6475786077524,1000.0,20.650980483241575
0:03:12,4200,0.09929062694311142,951.105912872099,1000.0,20.682747827642597
0:03:20,4300,0.0977460203319788,943.7119370674002,1000.0,20.521682575578488
0:03:29,4400,0.09685966677963734,950.4926183969253,1000.0,20.669388245214616
0:03:37,4500,0.09574997931718826,973.2980583298746,1000.0,21.166166166627228
0:03:46,4600,0.09487955413758754,972.1996814644108,1000.0,21.142239885101542
0:03:54,4700,0.09267278037965297,951.3092246083277,1000.0,20.68717662980644
0:04:03,4800,0.09198891773819923,951.761406017002,1000.0,20.69702663668915
0:04:10,4900,0.09164341405034065,1019.0787151646933,889.3,22.163420313452367
0:04:19,5000,0.09082516938447953,952.096369318055,1000.0,20.70432324543407
0:04:26,5100,0.08952895164489746,1126.3246734010422,871.7,24.499592050073062
0:04:34,5200,0.08930201895534992,961.4944339600031,1000.0,20.90904418183587
0:04:43,5300,0.08798963144421577,1281.5051646526922,957.5,27.87993648168398
0:04:50,5400,0.0867488881200552,1175.5976301383334,866.7,25.572920041191516
0:04:57,5500,0.08582036942243576,1143.2365666811856,867.3,24.867989029721898
0:05:06,5600,0.08562901064753532,949.8990711431621,1000.0,20.65645882259214
0:05:13,5700,0.08472317777574062,1009.237890364715,943.0,21.94905459617209
0:05:18,5800,0.08418295912444591,1954.5880190654862,547.0,42.541907587558306
0:05:22,5900,0.08311648294329643,868.206052622427,281.8,18.876914641292746
0:05:27,6000,0.08246645785868167,2109.356630326645,600.3,45.91327991049037
0:05:30,6100,0.08145547032356262,640.5930632326147,228.4,13.918750795822978
0:05:32,6200,0.08087692312896251,545.7484211848289,211.1,11.85272074895035
0:05:35,6300,0.0803005674481392,343.38197529442186,152.9,7.444510135663886
0:05:42,6400,0.07949585631489754,2980.3729258412814,824.6,64.88689612111678
0:05:44,6500,0.07881001785397529,460.2124683091174,204.0,9.989464745094443
0:05:48,6600,0.07741052135825158,1378.196175714434,393.1,29.986186553410793
0:05:54,6700,0.07682404078543187,2155.4007528762063,586.8,46.91627321211884
0:05:59,6800,0.07722998298704624,2418.5479092751957,663.7,52.648488760947465
0:06:05,6900,0.07669490218162536,1992.127486314867,556.6,43.35964136361848
0:06:11,7000,0.0756696193292737,2715.856131225961,729.1,59.124845321216625
0:06:17,7100,0.07545851796865463,2915.7896886515414,787.7,63.48005957582118
